ID,Available?,Holder,Type,FITV-ID,Name,Picture,Added On
57758,y,#########,EQP,CAM01,XA-10 Green,XA10.png,10/19/2017
57757,y,#########,EQP,CAM02,XA-10 Red,XA10.png,10/19/2017
